Name,Full Address,Address,City,State,Zip Code,Phone,Dealer_Homepage,,,,,,,
Colonial West Chevrolet 01,"314 John Fitch Hwy Fitchburg, MA 01420",314 John Fitch Hwy,Fitchburg,MA,11420,(978) 386-3117,http://www.colonial-west.com,,,,,,,
Ron Bouchard Chrysler Dodge RAM 02,"288 Lunenburg St Fitchburg, MA 01420",288 Lunenburg St,Fitchburg,MA,121420,(877) 765-0676,https://www.ronbouchardchryslerdodge.com,,,,,,,
Lahti's Jeep,"223 Central St Leominster, MA 01453",223 Central St,Leominster,MA,1453,(978) 425-1454,https://www.lahtis.net,,,,,,,
North End Subaru,"757 Chase Rd Lunenburg, MA 01462",757 Chase Rd,Lunenburg,MA,1462,(978) 812-4578,https://www.northendsubaru.com,,,,,,,
North End Mazda,"747 Chase Rd Lunenburg, MA 01462",747 Chase Rd,Lunenburg,MA,1462,(978) 582-3045,https://www.northendmazda.com,,,,,,,
Lundgren Honda,"163 Washington St Auburn, MA 01501",163 Washington St,Auburn,MA,1501,(855) 261-5508,https://www.lundgrenhondaofauburn.com,,,,,,,
Lux Auto Plus,"772 Southbridge Street Auburn, MA 01501",772 Southbridge Street,Auburn,MA,1501,(866) 980-5226,https://www.luxautoplus.com,,,,,,,
Ira Ford Auburn,"780 Washington St Auburn, MA 01501",780 Washington St,Auburn,MA,1501,(508) 917-6194,https://www.irafordauburn.com,,,,,,,
Lexus of Northborough,"14 Belmont St Northborough, MA 01532",14 Belmont St,Northborough,MA,1532,(888) 710-0622,http://www.lexusofnorthborough.com,,,,,,,
Sentry West Mazda,"940 Boston Tpke Shrewsbury, MA 01545",940 Boston Tpke,Shrewsbury,MA,1545,(508) 281-2687,https://www.sentrymazda.com,,,,,,,
Foley Motorsports,"894 Boston Tpke Shrewsbury, MA 01545",894 Boston Tpke,Shrewsbury,MA,1545,(508) 948-3708,http://www.foleymotorsports.com,,,,,,,
BMW of Shrewsbury,"770 Boston Turnpike Shrewsbury, MA 01545",770 Boston Turnpike,Shrewsbury,MA,1545,(888) 307-2956,https://www.bmwofshrewsbury.com,,,,,,,
Long Subaru,"7 Sutton Rd Webster, MA 01570",7 Sutton Rd,Webster,MA,1570,(855) 287-7397,http://www.long.subarudealer.com,,,,,,,
Mcgee Toyota of Dudley,"191 W Main St Dudley, MA 01571",191 W Main St,Dudley,MA,1571,(508) 499-3277,http://mcgeetoyotaofdudley.com,,,,,,,
Colonial Volkswagen,"89 Turnpike Rd Westborough, MA 01581",89 Turnpike Rd,Westborough,MA,1581,(508) 439-4179,http://www.buycolonialvw.com,,,,,,,
Route 9 Nissan,"273 Turnpike Road Westborough, MA 01581",273 Turnpike Road,Westborough,MA,1581,(833) 346-7024,https://www.route9nissanauto.com,,,,,,,
Harbro Auto Sales,"546 Providence Rd Northbridge, MA 01588",546 Providence Rd,Northbridge,MA,1588,(866) 926-1267,https://www.harbroauto.com,,,,,,,
North End Motor Sales,"927 W Boylston St Worcester, MA 01606",927 W Boylston St,Worcester,MA,1606,(508) 425-3924,http://www.northendmotorsales.com,,,,,,,
AutoMax Preowned Framingham,"1199 Worcester Rd Framingham, MA 01701",1199 Worcester Rd,Framingham,MA,1701,(508) 251-5016,https://www.automaxpreowned.com,,,,,,,
Bernardi Toyota,"1626 Worcester Road Framingham, MA 01702",1626 Worcester Road,Framingham,MA,1702,(877) 438-0593,http://www.bernarditoyota.com,,,,,,,
Colonial Chevrolet,"171 Great Rd Acton, MA 01720",171 Great Rd,Acton,MA,1720,(978) 631-0619,https://buycolonialchevrolet.com,,,,,,,
Swanson GMC Truck inc.,"12 Sudbury Rd Acton, MA 01720",12 Sudbury Rd,Acton,MA,1720,(978) 938-4138,https://www.swansongmc.com,,,,,,,
Minuteman VW,"39 North Rd Bedford, MA 01730",39 North Rd,Bedford,MA,1730,(781) 325-1416,http://www.minutemanvw.com,,,,,,,
Colonial Chrysler Jeep Dodge RAM,"24 Coolidge St Hudson, MA 01749",24 Coolidge St,Hudson,MA,1749,(978) 875-7137,https://www.colonialdodgechryslerjeep.com,,,,,,,
Copeland Chevrolet of Hudson,"223 Washington Street Hudson, MA 01749",223 Washington Street,Hudson,MA,1749,(888) 835-8023,https://www.copelandchevrolethudson.com,,,,,,,
AutoMax Preowned Marlborough,"400 Maple St. Rt. 85 Marlborough, MA 01752",400 Maple St. Rt. 85,Marlborough,MA,1752,(508) 251-6588,http://www.automaxpreowned.com,,,,,,,
Marlboro Nissan,"740 Boston Post Road East Marlborough, MA 01752",740 Boston Post Road East,Marlborough,MA,1752,(774) 556-7063,https://www.marlboronissan.com,,,,,,,
Colonial Ford of Marlboro,"428 Maple St Marlboro, MA 01752",428 Maple St,Marlboro,MA,1752,(508) 281-1293,https://www.colonialfordofmarlboro.com,,,,,,,
Imperial Chevrolet,"18 Uxbridge Rd Mendon, MA 01756",18 Uxbridge Rd,Mendon,MA,1756,(508) 379-2106,http://www.imperialcars.com,,,,,,,
Imperial Ford,"8 Uxbridge Rd Mendon, MA 01756",8 Uxbridge Rd,Mendon,MA,1756,(508) 286-6949,http://www.imperialcars.com,,,,,,,
Imperial Toyota,"300 Fortune BLVD Milford, MA 01757",300 Fortune BLVD,Milford,MA,1757,(508) 905-5216,http://www.imperialtoyotama.com,,,,,,,
MetroWest Subaru,"948 Worcester St Natick, MA 01760",948 Worcester St,Natick,MA,1760,(508) 433-7821,https://www.metrowestsubaru.com,,,,,,,
Audi Natick,"549 Worcester St Natick, MA 01760",549 Worcester St,Natick,MA,1760,(781) 561-7424,http://AudiNatick.com,,,,,,,
Long Cadillac,"218 Turnpike Road Southborough, MA 01772",218 Turnpike Road,Southborough,MA,1772,(888) 302-9720,https://www.longcadillac.com,,,,,,,
Car Lot Express,"92 Great Road Stow, MA 01775",92 Great Road,Stow,MA,1775,(617) 874-1146,http://www.carlotexpress.com,,,,,,,
Mercedes-Benz of Sudbury,"141 Boston Post Road Sudbury, MA 01776",141 Boston Post Road,Sudbury,MA,1776,,,,,,,,,
Herb Chambers Exotics,"533 Boston Post Rd, Rte 20 Wayland, MA 01778","533 Boston Post Rd, Rte 20",Wayland,MA,1778,(855) 953-2649,https://www.bentleyboston.com,,,,,,,
