State,Short Name,City,Zip,Latitude,Longitude,tax
Colorado,CO,Denver,80252,39.7637782,-105.184397,0
Colorado,CO,Denver,80256,39.73999763,-105.0005996,8.81
Colorado,CO,Denver,80257,39.74886707,-104.9934969,8.81
Colorado,CO,Denver,80259,39.73999763,-105.0005996,8.81
Colorado,CO,Denver,80260,39.86599566,-105.047217,8.81
Colorado,CO,Denver,80261,39.73999763,-105.0005996,8.81
Colorado,CO,Denver,80262,39.71623644,-104.9764869,0
Colorado,CO,Denver,80263,39.64999763,-104.9305996,8.81
Colorado,CO,Denver,80264,39.74247697,-104.9880559,8.81
Colorado,CO,Denver,80265,39.74799597,-104.9972309,8.81
Colorado,CO,Denver,80266,39.77981308,-104.9211332,8.81
Colorado,CO,Denver,80271,39.71747102,-104.9909179,8.81
Colorado,CO,Denver,80273,39.73999763,-105.0005996,8.81
Colorado,CO,Denver,80274,39.74391998,-105.0078473,8.81
Colorado,CO,Denver,80279,39.7637782,-105.184397,0
Colorado,CO,Denver,80280,39.7637782,-105.184397,0
Colorado,CO,Denver,80281,39.73999763,-105.0005996,8.81
Colorado,CO,Denver,80290,39.74408397,-104.9893404,8.81
Colorado,CO,Denver,80291,39.73999763,-105.0005996,8.81
Colorado,CO,Denver,80293,39.74625542,-104.9925088,8.81
Colorado,CO,Denver,80294,39.74979547,-104.9922865,8.81
Colorado,CO,Denver,80299,39.74757997,-104.9942603,8.81
Michigan,MI,Detroit,48201,42.34624466,-83.08046802,6
Michigan,MI,Detroit,48202,42.37511862,-83.11856806,6
Michigan,MI,Detroit,48203,42.41761112,-83.14436706,6
Michigan,MI,Detroit,48204,42.36498512,-83.17372556,6
Michigan,MI,Detroit,48205,42.42899167,-83.01750656,6
Michigan,MI,Detroit,48206,42.37614112,-83.14963456,6
Michigan,MI,Detroit,48207,42.34882455,-83.08512472,6
Michigan,MI,Detroit,48208,42.35120308,-83.13170001,6
Michigan,MI,Detroit,48209,42.29985368,-83.15127921,6
Michigan,MI,Detroit,48210,42.33745508,-83.16680506,6
Michigan,MI,Detroit,48211,42.38308112,-83.09058506,6
Michigan,MI,Detroit,48212,42.40382857,-83.09780051,6
Michigan,MI,Detroit,48213,42.39917545,-83.07929316,6
Michigan,MI,Detroit,48214,42.36662612,-83.02597201,6
Michigan,MI,Detroit,48215,42.37173607,-82.99280201,6
Michigan,MI,Detroit,48216,42.32583808,-83.11911961,6
Michigan,MI,Detroit,48217,42.27571066,-83.17463702,6
Michigan,MI,Detroit,48219,42.42567847,-83.29436716,6
